,0
1927,12
1928,4
1929,0
1930,27
1931,0
1932,19
1933,2
1934,41
1935,28
1936,14
1937,6
1938,0
1939,22
1940,41
1941,0
1942,0
1943,0
1944,40
1945,0
1946,24
1947,5
1948,47
1949,0
1950,12
1951,0
1952,0
1953,0
1954,49
1955,0
1956,27
1957,0
1958,12
1959,2
1960,25
1961,47
1962,44
1963,0
1964,27
1965,11
1966,40
1967,27
1968,12
1969,4
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,9
1977,49
1978,6
1979,0
1980,0
1981,4
1982,12
1983,41
1984,0
1985,38
1986,27
1987,2
1988,0
1989,2
1990,14
1991,7
1992,0
1993,0
1994,33
1995,0
1996,10
1997,8
1998,40
1999,34
2000,40
2001,8
2002,12
2003,33
2004,45
2005,0
2006,45
2007,18
2008,5
2009,40
2010,7
2011,12
2012,16
2013,25
2014,0
2015,28
2016,35
2017,12
2018,19
2019,12
2020,0
2021,33
2022,45
2023,0
2024,45
2025,8
2026,8
2027,31
2028,28
2029,43
2030,25
2031,29
2032,4
2033,4
2034,45
2035,0
2036,0
2037,0
2038,33
2039,14
2040,0
2041,0
2042,48
2043,0
2044,0
2045,0
2046,18
2047,35
2048,0
2049,0
2050,14
2051,0
2052,7
2053,12
2054,0
2055,4
2056,12
2057,7
2058,47
2059,0
2060,47
2061,0
2062,0
2063,18
2064,41
2065,0
2066,12
2067,28
2068,0
2069,0
2070,0
2071,0
2072,14
2073,12
2074,13
2075,0
2076,45
2077,40
2078,12
2079,32
2080,16
2081,0
2082,41
2083,0
2084,12
2085,0
2086,12
2087,0
2088,0
2089,4
2090,12
2091,12
2092,7
2093,28
2094,18
2095,33
2096,0
2097,0
2098,0
2099,4
2100,12
2101,0
2102,45
2103,44
2104,7
2105,12
2106,34
2107,9
2108,34
2109,0
2110,0
2111,6
2112,28
2113,4
2114,34
2115,7
2116,41
2117,41
2118,12
2119,0
2120,12
2121,12
2122,45
2123,4
2124,28
2125,4
2126,4
2127,13
2128,2
2129,41
2130,0
2131,2
2132,0
2133,0
2134,0
2135,21
2136,7
2137,0
2138,39
2139,32
2140,8
2141,0
2142,0
2143,45
2144,25
2145,20
2146,41
2147,0
2148,48
2149,0
2150,6
2151,12
2152,24
2153,34
2154,0
2155,0
2156,0
2157,0
2158,18
2159,4
2160,0
2161,0
2162,0
2163,2
2164,37
2165,2
2166,12
2167,16
2168,43
2169,0
2170,48
2171,24
2172,40
2173,12
2174,4
2175,33
2176,44
2177,27
2178,0
2179,27
2180,9
2181,6
2182,4
2183,12
2184,0
2185,0
2186,29
2187,18
2188,40
2189,12
2190,12
2191,0
2192,33
2193,31
2194,39
2195,45
2196,0
2197,23
2198,12
2199,7
2200,47
2201,20
2202,4
2203,10
2204,12
2205,0
2206,0
2207,2
2208,0
2209,12
2210,12
2211,30
2212,9
2213,10
2214,45
2215,0
2216,1
2217,45
2218,0
2219,14
2220,12
2221,42
2222,12
2223,2
2224,40
2225,22
2226,14
2227,34
2228,0
2229,9
2230,0
2231,22
2232,47
2233,4
2234,0
2235,4
2236,33
2237,0
2238,7
2239,16
2240,0
2241,0
2242,2
2243,12
2244,0
2245,16
2246,2
2247,0
2248,4
2249,9
2250,13
2251,4
2252,4
2253,12
2254,41
2255,0
2256,27
2257,4
2258,0
2259,0
2260,48
2261,25
2262,4
2263,35
2264,33
2265,44
2266,16
2267,0
2268,21
2269,12
2270,12
2271,0
2272,22
2273,23
2274,14
2275,18
2276,0
2277,10
2278,12
2279,0
2280,40
2281,27
2282,0
2283,21
2284,49
2285,10
2286,0
2287,41
2288,27
2289,4
2290,0
2291,13
2292,38
2293,12
2294,13
2295,16
2296,0
2297,0
2298,41
2299,12
2300,4
2301,12
2302,2
2303,17
2304,2
2305,12
2306,12
2307,4
2308,45
2309,12
2310,27
2311,0
2312,0
2313,41
2314,33
2315,10
2316,13
2317,37
2318,10
2319,23
2320,12
2321,45
2322,33
2323,46
2324,16
2325,12
2326,12
2327,0
2328,0
2329,21
2330,0
2331,35
2332,39
2333,42
2334,6
2335,25
2336,0
2337,4
2338,41
2339,0
2340,4
2341,4
2342,45
2343,4
2344,12
2345,9
2346,14
2347,6
2348,45
2349,17
2350,4
2351,38
2352,21
2353,45
2354,12
2355,0
2356,17
2357,14
2358,0
2359,4
2360,0
2361,12
2362,2
2363,0
2364,13
2365,0
2366,0
2367,4
2368,0
2369,45
2370,37
2371,40
2372,27
2373,48
2374,0
